,0
0,101.0603
1,103.0366
2,108.0234
3,111.0494
4,115.0744
5,119.0915
6,119.0964
7,119.104
8,120.1079
9,121.0281
10,125.0166
11,125.0222
12,127.0324
13,127.0405
14,128.0316
15,128.0459
16,129.0391
17,129.0431
18,129.0505
19,129.0854
20,129.0926
21,130.0569
22,134.0317
23,134.035
24,134.0424
25,134.0513
26,135.0298
27,135.0419
28,137.0285
29,139.0873
30,140.9988
31,141.1282
32,143.0315
33,143.1046
34,143.1145
35,144.0432
36,145.0583
37,145.1052
38,150.0205
39,150.0379
40,150.8884
41,151.0016
42,151.0358
43,151.0466
44,151.0626
45,151.0747
46,151.0859
47,151.0955
48,151.0989
49,152.0424
50,152.0546
51,152.0791
52,152.8822
53,152.9908
54,152.9986
55,153.0098
56,153.0218
57,153.0571
58,153.0656
59,153.0835
60,153.0943
61,153.1021
62,153.1092
63,154.0562
64,154.0665
65,154.1011
66,155.0547
67,155.0719
68,155.0806
69,155.0871
70,155.0903
71,155.1452
72,156.0138
73,156.0268
74,157.019
75,157.0508
76,157.0865
77,157.1105
78,157.1221
79,157.132
80,158.1299
81,159.0624
82,160.0469
83,161.0405
84,161.0523
85,162.0231
86,162.0655
87,162.9416
88,163.0201
89,163.0303
90,163.0353
91,163.0492
92,163.0569
93,163.0621
94,163.0855
95,163.1138
96,164.0113
97,164.0258
98,164.0366
99,164.0432
100,164.0466
101,164.0788
102,164.9832
103,165.0416
104,165.0518
105,165.0616
106,165.0707
107,165.0801
108,165.0852
109,165.0909
110,165.1003
111,165.9974
112,166.0075
113,166.0165
114,166.0314
115,166.043
116,166.0469
117,166.0551
118,166.0682
119,166.0797
120,166.0909
121,167.0101
122,167.0456
123,167.0646
124,167.079
125,167.0887
126,167.1176
127,167.1262
128,168.0239
129,168.0353
130,168.0483
131,168.0723
132,168.1166
133,169.0595
134,169.0732
135,169.0967
136,169.1098
137,169.1263
138,169.1365
139,169.156
140,170.0022
141,170.0202
142,170.0406
143,170.0509
144,170.0791
145,170.0934
146,170.1031
147,171
148,171.0097
149,171.0255
150,171.0399
151,171.0662
152,171.101
153,171.1353
154,171.1525
155,172.0358
156,172.1095
157,173.0755
158,174.0351
159,174.0436
160,174.0603
161,175.0466
162,176.0307
163,176.0414
164,176.0516
165,176.0569
166,177.0338
167,177.0471
168,177.0588
169,177.0674
170,177.0754
171,177.0953
172,178.0172
173,178.0456
174,178.0568
175,178.0669
176,178.0991
177,179.006
178,179.0457
179,179.0572
180,179.0646
181,179.079
182,179.089
183,179.097
184,179.1152
185,179.128
186,180.0214
187,180.0319
188,180.0755
189,180.0879
190,180.0926
191,180.104
192,181.0168
193,181.0265
194,181.0702
195,181.0764
196,181.0948
197,182.0136
198,182.0266
199,182.0508
200,182.064
201,182.0835
202,182.1386
203,182.9843
204,182.9962
205,183.008
206,183.0614
207,183.0992
208,183.1111
209,183.1241
210,183.1359
